instance,final_energy,variance,inverse_num_params
0,-16.858580215759257,4.101742241175444e-05,0.0029850746268656717
0,-16.858049971917524,1.3324453523529202e-07,0.003861003861003861
0,-16.496432741879566,0.00036604951087288584,0.0029850746268656717
0,-16.492130823046402,0.002313219759765946,0.0033783783783783786
0,-16.497736996613828,0.0005645711403192711,0.0029850746268656717
0,-16.492586281285046,0.00543183845328556,0.002386634844868735
0,-16.497785475877524,0.0021757226706234935,0.0029850746268656717
0,-16.497445550548637,8.256935159094427e-05,0.0015060240963855422
0,-16.86075235542591,5.020326888656144e-05,0.0011160714285714285
0,-16.497267335087148,9.719954934289615e-05,0.0009765625
0,-16.49203223332305,0.003225388113788295,0.0011160714285714285
0,-16.861276428774797,4.918964508235621e-15,0.0026595744680851063
0,-16.49496852542102,1.1146502656014886e-05,0.0033783783783783786
0,-16.859369515946145,1.1470431046099932e-05,0.0015060240963855422
0,-16.494690015480877,8.418611226821089e-05,0.002386634844868735
0,-16.496496089157883,0.00015104881710140117,0.0011976047904191617
0,-16.497898774574384,0.0007375298472983861,0.0008123476848090983
0,-16.495444006148627,7.51138406815354e-05,0.0013908205841446453
0,-16.496969359209064,0.00030648636945958924,0.0021551724137931034
0,-16.49433291755549,0.000631071693033335,0.002386634844868735
0,-16.498521713684756,0.0011867116291278922,0.0011976047904191617
0,-16.49725497136738,0.001148960681866033,0.0033783783783783786
0,-16.502171079839062,0.003147808155856641,0.004464285714285714
0,-16.500238726758397,0.002460926231319364,0.0033783783783783786
0,-16.494702585205598,0.00037540983202296376,0.0017857142857142857
0,-16.84700147613425,4.5401437340150295e-05,0.0033783783783783786
0,-16.497866542816702,6.0190367209176984e-05,0.0021551724137931034
0,-16.85500955956761,0.0031293754032443916,0.0011976047904191617
0,-16.496014120980966,6.002447255442575e-06,0.002386634844868735
0,-16.497771776732613,0.0058316949132194516,0.003861003861003861
0,-16.49488938940097,9.30737586509851e-05,0.003861003861003861
0,-16.496745884547416,5.0204216777196e-05,0.0008123476848090983
0,-16.4967583260919,1.586384111954182e-06,0.0015060240963855422
0,-16.495451505005285,9.399132608708267e-05,0.0011160714285714285
0,-16.862156009574402,7.044199496074882e-06,0.0007668711656441718
